"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_02","get tired","see something","bio","mind","causation_second",0.49,0.58
"subj_02","take a walk","see something","action","mind","causation_second",0.27,0.07
"subj_02","hear something","see something","mind","mind","causation_second",0,0.42
"subj_02","remember something","see something","mind","mind","causation_second",0.28,0.31
"subj_02","get sick","see something","bio","mind","causation_second",0.51,0.59
"subj_02","experience pain","see something","bio","mind","causation_second",0.55,0.59
"subj_02","choose what to do","see something","mind","mind","causation_second",0.38,0.43
"subj_02","reach for something","see something","action","mind","causation_second",0.13,0.46
"subj_02","sit down","see something","action","mind","causation_second",0.26,0.41
"subj_02","jump up and down","see something","action","mind","causation_second",0.31,0.46
"subj_02","become hungry","see something","bio","mind","causation_second",0.52,0.85
"subj_02","think about something","see something","mind","mind","causation_second",0.37,0.33
"subj_02","kick something","see something","action","mind","causation_second",0.23,0.42
"subj_02","feel scared","see something","bio","mind","causation_second",0.55,0.33
"subj_02","see something","get tired","mind","bio","causation_second",0.49,0.84
"subj_02","take a walk","get tired","action","bio","causation_second",0.16,0.11
"subj_02","hear something","get tired","mind","bio","causation_second",0.53,0.64
"subj_02","remember something","get tired","mind","bio","causation_second",0.83,0.9
"subj_02","get sick","get tired","bio","bio","causation_second",0.23,0.02
"subj_02","experience pain","get tired","bio","bio","causation_second",0.43,0.43
"subj_02","choose what to do","get tired","mind","bio","causation_second",0.58,0.32
"subj_02","reach for something","get tired","action","bio","causation_second",0.56,0.48
"subj_02","sit down","get tired","action","bio","causation_second",0.44,0.42
"subj_02","jump up and down","get tired","action","bio","causation_second",0.27,0.25
"subj_02","become hungry","get tired","bio","bio","causation_second",0.13,0.14
"subj_02","think about something","get tired","mind","bio","causation_second",0.94,0.32
"subj_02","kick something","get tired","action","bio","causation_second",0.19,0.37
"subj_02","feel scared","get tired","bio","bio","causation_second",0.11,0.11
"subj_02","see something","take a walk","mind","action","causation_second",0.27,0.7
"subj_02","get tired","take a walk","bio","action","causation_second",0.16,0.71
"subj_02","hear something","take a walk","mind","action","causation_second",0.32,0.75
"subj_02","remember something","take a walk","mind","action","causation_second",0.62,0.52
"subj_02","get sick","take a walk","bio","action","causation_second",0.31,0.85
"subj_02","experience pain","take a walk","bio","action","causation_second",0.34,0.45
"subj_02","choose what to do","take a walk","mind","action","causation_second",0.39,0.57
"subj_02","reach for something","take a walk","action","action","causation_second",0.32,0.85
"subj_02","sit down","take a walk","action","action","causation_second",0.33,0.89
"subj_02","jump up and down","take a walk","action","action","causation_second",0.1,0.72
"subj_02","become hungry","take a walk","bio","action","causation_second",0.27,0.34
"subj_02","think about something","take a walk","mind","action","causation_second",0.72,0.94
"subj_02","kick something","take a walk","action","action","causation_second",0.05,0.58
"subj_02","feel scared","take a walk","bio","action","causation_second",0.21,0.28
"subj_02","see something","hear something","mind","mind","causation_second",0,0.61
"subj_02","get tired","hear something","bio","mind","causation_second",0.53,0.44
"subj_02","take a walk","hear something","action","mind","causation_second",0.32,0.1
"subj_02","remember something","hear something","mind","mind","causation_second",0.22,0.36
"subj_02","get sick","hear something","bio","mind","causation_second",0.5,0.43
"subj_02","experience pain","hear something","bio","mind","causation_second",0.63,0.66
"subj_02","choose what to do","hear something","mind","mind","causation_second",0.46,0.44
"subj_02","reach for something","hear something","action","mind","causation_second",0.21,0.87
"subj_02","sit down","hear something","action","mind","causation_second",0.21,0.86
"subj_02","jump up and down","hear something","action","mind","causation_second",0.39,0.01
"subj_02","become hungry","hear something","bio","mind","causation_second",0.53,0.73
"subj_02","think about something","hear something","mind","mind","causation_second",0.33,0.24
"subj_02","kick something","hear something","action","mind","causation_second",0.26,0.52
"subj_02","feel scared","hear something","bio","mind","causation_second",0.61,0.27
"subj_02","see something","remember something","mind","mind","causation_second",0.28,0.26
"subj_02","get tired","remember something","bio","mind","causation_second",0.83,0.7
"subj_02","take a walk","remember something","action","mind","causation_second",0.62,0.73
"subj_02","hear something","remember something","mind","mind","causation_second",0.22,0.37
"subj_02","get sick","remember something","bio","mind","causation_second",0.75,0.83
"subj_02","experience pain","remember something","bio","mind","causation_second",0.9,0.45
"subj_02","choose what to do","remember something","mind","mind","causation_second",0.67,0.7
"subj_02","reach for something","remember something","action","mind","causation_second",0.41,0.58
"subj_02","sit down","remember something","action","mind","causation_second",0.4,0.73
"subj_02","jump up and down","remember something","action","mind","causation_second",0.68,0.73
"subj_02","become hungry","remember something","bio","mind","causation_second",0.79,0.46
"subj_02","think about something","remember something","mind","mind","causation_second",0.09,0.2
"subj_02","kick something","remember something","action","mind","causation_second",0.55,0.53
"subj_02","feel scared","remember something","bio","mind","causation_second",0.91,0.43
"subj_02","see something","get sick","mind","bio","causation_second",0.51,0.29
"subj_02","get tired","get sick","bio","bio","causation_second",0.23,0.24
"subj_02","take a walk","get sick","action","bio","causation_second",0.31,0.75
"subj_02","hear something","get sick","mind","bio","causation_second",0.5,0.63
"subj_02","remember something","get sick","mind","bio","causation_second",0.75,0.87
"subj_02","experience pain","get sick","bio","bio","causation_second",0.71,0.29
"subj_02","choose what to do","get sick","mind","bio","causation_second",0.78,0.31
"subj_02","reach for something","get sick","action","bio","causation_second",0.66,0.54
"subj_02","sit down","get sick","action","bio","causation_second",0.27,0.46
"subj_02","jump up and down","get sick","action","bio","causation_second",0.49,0.74
"subj_02","become hungry","get sick","bio","bio","causation_second",0.02,0.32
"subj_02","think about something","get sick","mind","bio","causation_second",0.9,0.36
"subj_02","kick something","get sick","action","bio","causation_second",0.23,0.28
"subj_02","feel scared","get sick","bio","bio","causation_second",0.42,0.37
"subj_02","see something","experience pain","mind","bio","causation_second",0.55,0.32
"subj_02","get tired","experience pain","bio","bio","causation_second",0.43,0.47
"subj_02","take a walk","experience pain","action","bio","causation_second",0.34,0.23
"subj_02","hear something","experience pain","mind","bio","causation_second",0.63,0.42
